,manufacturer,model,year,selling_price,fuel,seller_type,mileage
100,Hyundai,i20 1.4 Asta Option,2017,725000,Diesel,Individual,22.54
101,Maruti,Wagon R VXI,2009,185000,Petrol,Dealer,21.79
102,Tata,Manza Aura (ABS) Quadrajet,2010,200000,Diesel,Individual,18.8
103,Maruti,Swift VXI,2019,615000,Petrol,Individual,21.21
104,Maruti,Eeco 7 Seater Standard BSIV,2016,270000,Petrol,Individual,15.37
105,Maruti,Baleno Zeta 1.2,2018,610000,Petrol,Individual,21.4
106,Mahindra,Scorpio VLX AT AIRBAG BSIV,2014,625000,Diesel,Individual,11.79
107,Ford,Freestyle Titanium Petrol BSIV,2020,400000,Petrol,Individual,19.0
108,Hyundai,Verna VTVT 1.6 SX,2017,866000,Petrol,Individual,17.0
109,Volkswagen,Passat 1.8 TSI MT,2010,700000,Petrol,Individual,14.3
110,Tata,Indica Vista Aura 1.2 Safire (ABS) BS IV,2010,300000,Petrol,Individual,15.8
111,Mahindra,XUV500 W11 Option AWD,2019,1700000,Diesel,Individual,15.1
112,Tata,Indigo CS LS (TDI) BS-III,2016,375000,Diesel,Individual,19.09
113,Hyundai,Verna 1.6 SX,2013,522000,Diesel,Individual,22.32
114,Hyundai,i20 Magna 1.4 CRDi (Diesel),2013,451999,Diesel,Individual,21.9
115,Toyota,Corolla Altis G,2009,300000,Petrol,Individual,14.53
116,Maruti,Celerio VXI,2020,475000,Petrol,Individual,21.63
117,Maruti,Vitara Brezza ZDi Plus Dual Tone,2016,780000,Diesel,Individual,24.3
118,Maruti,Swift Dzire VXI,2017,595000,Petrol,Individual,20.85
119,Maruti,Wagon R VXI BS IV,2017,440000,Petrol,Individual,20.51
121,Nissan,Terrano XL 85 PS,2014,400000,Diesel,Individual,20.45
122,Hyundai,Creta 1.6 CRDi SX,2016,1140000,Diesel,Individual,19.67
123,Ford,EcoSport 1.5 Diesel Titanium Plus BSIV,2017,850000,Diesel,Individual,23.0
124,Maruti,Swift Dzire VDi,2012,370000,Diesel,Individual,19.3
125,Renault,KWID 1.0,2018,350000,Petrol,Individual,23.01
126,Maruti,Celerio VXI,2015,360000,Petrol,Individual,23.1
127,Maruti,Alto LXi,2008,105000,Petrol,Individual,19.7
128,Maruti,Ertiga VDI,2013,625000,Diesel,Individual,20.77
129,Hyundai,Santro Xing GLS,2009,135000,Petrol,Individual,17.92
130,Maruti,Ertiga VDI,2015,700000,Diesel,Individual,20.77
131,Honda,Amaze S i-VTEC,2019,690000,Petrol,Dealer,17.8
132,Audi,Q5 35TDI Premium Plus,2018,3975000,Diesel,Dealer,17.01
133,Lexus,ES 300h,2019,5150000,Petrol,Dealer,22.37
134,Jaguar,XF 2.0 Diesel Portfolio,2017,3200000,Diesel,Dealer,19.33
135,Jeep,Wrangler 2016-2019 3.6 4X4,2017,4100000,Petrol,Individual,9.5
136,Land,Rover Discovery Sport TD4 SE,2019,4500000,Diesel,Dealer,12.83
137,Mercedes-Benz,S-Class S 350 CDI,2017,6000000,Diesel,Dealer,13.5
138,BMW,5 Series 520d Sport Line,2018,3790000,Diesel,Dealer,22.48
140,BMW,X4 M Sport X xDrive20d,2019,5800000,Diesel,Dealer,16.78
141,Skoda,Superb LK 1.8 TSI AT,2018,1864999,Petrol,Dealer,14.67
142,Mercedes-Benz,E-Class E250 Edition E,2016,2700000,Diesel,Dealer,15.0
143,MG,Hector Sharp AT BSIV,2019,1750000,Petrol,Dealer,13.96
144,Honda,City i-VTEC CVT VX,2017,795000,Petrol,Dealer,18.0
145,Toyota,Corolla Altis 1.8 G CVT,2013,625000,Petrol,Dealer,14.28
146,Volvo,XC40 D4 R-Design,2018,3400000,Diesel,Dealer,18.0
147,Audi,Q7 35 TDI Quattro Premium,2015,2650000,Diesel,Dealer,12.07
148,Maruti,Ciaz ZDi,2015,535000,Diesel,Dealer,26.21
149,Mercedes-Benz,S-Class S 350 CDI,2017,5850000,Diesel,Dealer,13.5
150,BMW,5 Series 523i,2010,975000,Petrol,Dealer,10.8
151,Hyundai,Elantra S,2016,805000,Petrol,Dealer,16.3
152,Jaguar,XE 2016-2019 2.0L Diesel Prestige,2017,2625000,Diesel,Dealer,13.6
153,Tata,Nexon 1.2 Revotron XZ Plus Dual Tone,2018,811000,Petrol,Dealer,17.0
154,Volkswagen,Vento Petrol Highline,2011,375000,Petrol,Individual,15.04
155,Hyundai,Elantra SX,2012,550000,Petrol,Individual,16.3
156,Skoda,Rapid 1.6 MPI AT Elegance,2016,645000,Petrol,Dealer,14.3
157,Mercedes-Benz,CLA 200 CGI Sport,2018,2550000,Petrol,Dealer,15.04
158,Maruti,Ertiga ZXI,2014,599000,Petrol,Dealer,16.02
159,Mercedes-Benz,New C-Class C 200 AVANTGARDE,2017,2700000,Petrol,Dealer,14.74
160,Honda,City V AT,2017,875000,Petrol,Dealer,15.6
161,Toyota,Glanza V CVT,2019,894999,Petrol,Dealer,19.56
162,Maruti,Alto K10 VXI,2011,175000,Petrol,Dealer,23.95
163,Maruti,Swift VXI,2012,340000,Petrol,Dealer,21.21
164,Toyota,Innova Crysta 2.8 ZX AT BSIV,2016,1525000,Diesel,Dealer,11.36
165,Tata,Nexon 1.5 Revotorq XZA Plus DualTone,2018,1025000,Diesel,Dealer,21.5
166,BMW,3 Series 320d Luxury Line,2016,2150000,Diesel,Dealer,22.69
167,Toyota,Camry 2.5 Hybrid,2016,1900000,Petrol,Dealer,19.16
168,BMW,5 Series 520d Luxury Line,2016,2900000,Diesel,Dealer,18.12
169,Toyota,Camry W4 (AT),2009,450000,Petrol,Dealer,12.1
170,Maruti,Ertiga BSIV ZXI Plus,2016,850000,Petrol,Individual,17.5
171,Volvo,XC90 T8 Excellence BSIV,2017,10000000,Petrol,Individual,42.0
172,Volkswagen,Vento Diesel Highline,2011,300000,Diesel,Individual,20.54
173,Ford,Figo Aspire 1.2 Ti-VCT Trend,2018,575000,Petrol,Individual,18.16
174,Ford,Figo Diesel LXI,2011,160000,Diesel,Individual,20.0
175,Maruti,Swift VXI Optional,2015,515000,Petrol,Individual,20.4
176,Maruti,Wagon R AMT VXI,2015,390000,Petrol,Individual,20.51
177,Hyundai,i20 Magna 1.2,2016,550000,Petrol,Individual,18.6
178,Maruti,800 Std,1999,40000,Petrol,Individual,16.1
179,Maruti,Ritz VDi,2010,220000,Diesel,Individual,21.1
180,Hyundai,Grand i10 Magna,2015,425000,Petrol,Individual,18.9
181,Volkswagen,Ameo 1.0 MPI Trendline,2019,480000,Petrol,Individual,19.44
182,Hyundai,Grand i10 Sportz,2014,400000,Petrol,Individual,18.9
183,Maruti,Swift Dzire VXI,2014,487000,Petrol,Individual,19.1
184,Hyundai,Xcent 1.2 Kappa S,2016,386000,Petrol,Individual,19.1
185,Honda,City 1.5 EXI,2005,100000,Petrol,Individual,13.0
186,Toyota,Corolla Altis Diesel D4DG,2010,300000,Diesel,Individual,21.43
187,Daewoo,Matiz SD,2000,100000,Petrol,Individual,18.5
188,Toyota,Fortuner 4x2 Manual,2014,1750000,Diesel,Individual,13.0
189,Mahindra,KUV 100 mFALCON G80 K8,2016,450000,Petrol,Individual,18.15
190,Tata,Zest Quadrajet 1.3 75PS XM,2017,490000,Diesel,Individual,22.95
191,Honda,City 1.5 S MT,2009,345000,Petrol,Individual,17.0
192,Maruti,Zen LXI,2005,85000,Petrol,Individual,17.3
193,Maruti,Wagon R VXI BS IV with ABS,2010,215000,Petrol,Individual,18.9
194,Hyundai,Verna Transform SX VTVT,2010,320000,Petrol,Individual,16.2
195,Maruti,Swift Dzire VXI,2016,459999,Petrol,Individual,20.85
196,Hyundai,Getz GLS,2005,65000,Petrol,Individual,15.3
197,Hyundai,Elite i20 Sportz Plus BSIV,2020,720000,Petrol,Individual,18.6
198,Maruti,Ciaz 1.3 Alpha,2017,800000,Diesel,Individual,28.09
199,Tata,Tigor 1.2 Revotron XZ,2019,520000,Petrol,Individual,20.3
200,Maruti,Ertiga VDI,2015,580000,Diesel,Individual,20.77
202,Honda,City i VTEC S,2015,600000,Petrol,Individual,17.4
203,Honda,Brio S MT,2014,290000,Petrol,Individual,19.4
204,Maruti,Wagon R LXI CNG,2016,360000,Other,Individual,26.6
205,Maruti,Swift Dzire VXI,2017,550000,Petrol,Individual,20.85
206,Hyundai,i20 Sportz 1.2,2013,375000,Petrol,Individual,18.5
208,Maruti,Wagon R AMT VXI,2018,420000,Petrol,Individual,20.51
209,Maruti,Swift Dzire VXI 1.2,2017,550000,Petrol,Individual,21.21
210,Maruti,Alto 800 LXI,2018,270000,Petrol,Individual,24.7
211,Maruti,Swift Dzire AMT VXI BS IV,2018,700000,Petrol,Individual,22.0
212,Maruti,Swift VXI Optional,2017,500000,Petrol,Individual,20.4
213,Tata,Hexa XE,2019,1250000,Diesel,Individual,17.6
214,Hyundai,i20 Magna,2013,320000,Petrol,Individual,18.5
215,Maruti,Swift Dzire VDI,2018,700000,Diesel,Individual,28.4
216,Maruti,Wagon R VXI BS IV,2015,290000,Petrol,Individual,20.51
217,Toyota,Corolla Altis 1.8 VL AT,2012,550000,Petrol,Individual,14.53
218,Honda,Brio S MT,2012,265000,Petrol,Individual,19.4
219,Maruti,Baleno Alpha Automatic,2018,830000,Petrol,Individual,21.4
220,Tata,Safari Storme EX,2017,800000,Diesel,Individual,14.1
221,Maruti,Alto LXi,2011,160000,Petrol,Individual,19.7
222,Renault,KWID RXT,2018,335000,Petrol,Individual,25.17
223,Datsun,GO T BSIV,2017,329000,Petrol,Individual,20.63
224,Maruti,Vitara Brezza VDi Option,2017,775000,Diesel,Individual,24.3
225,Hyundai,Xcent 1.2 VTVT SX,2020,524000,Petrol,Individual,20.14
226,Maruti,Alto 800 LXI,2015,245000,Petrol,Individual,22.74
227,Hyundai,i20 1.2 Sportz,2012,275000,Petrol,Individual,17.0
228,Tata,Zest Revotron 1.2 XT,2018,520000,Petrol,Individual,17.57
230,Nissan,Sunny XL,2014,550000,Petrol,Individual,16.95
231,Ford,EcoSport 1.5 Petrol Titanium Plus BSIV,2018,910000,Petrol,Individual,17.0
232,Nissan,Micra Active XV S,2015,300000,Petrol,Individual,19.49
233,Maruti,Wagon R LXI Optional,2016,350000,Petrol,Individual,20.51
234,Mahindra,Ssangyong Rexton RX5,2013,900000,Diesel,Individual,12.83
235,Mahindra,Quanto C8,2013,300000,Diesel,Individual,17.21
236,Maruti,Ritz LDi,2010,250000,Diesel,Individual,21.1
237,Hyundai,Creta 1.6 CRDi SX Plus Dual Tone,2017,1100000,Diesel,Individual,19.67
238,Renault,KWID RXT,2016,270000,Petrol,Individual,25.17
239,Maruti,Ertiga VDI,2015,640000,Diesel,Individual,20.77
240,Mahindra,XUV500 W4,2015,650000,Diesel,Individual,15.1
241,Maruti,Eeco 5 Seater AC BSIV,2017,409999,Petrol,Individual,15.37
242,Hyundai,Santro Xing GLS,2011,165000,Petrol,Individual,17.92
243,Hyundai,Accent GLE,2007,80000,Petrol,Individual,13.2
244,Mahindra,XUV500 W8 2WD,2012,535000,Diesel,Individual,15.1
245,Toyota,Innova 2.5 EV (Diesel) PS 7 Seater BS IV,2013,700000,Diesel,Individual,12.99
246,Maruti,Swift Dzire VDI,2013,550000,Diesel,Individual,23.4
247,Honda,Amaze S CVT Petrol BSIV,2019,680000,Petrol,Individual,19.0
248,Hyundai,i10 Sportz 1.2,2009,200000,Petrol,Individual,20.36
249,Maruti,Swift Dzire VDI,2014,500000,Diesel,Individual,23.4
250,Maruti,Ertiga SHVS ZDI Plus,2016,1000000,Diesel,Individual,24.52
251,Hyundai,Getz 1.3 GVS,2008,110000,Petrol,Individual,14.2
252,Hyundai,i20 1.2 Magna,2012,320000,Petrol,Individual,18.5
254,Maruti,Swift LXI Optional-O,2015,350000,Petrol,Individual,20.4
255,Tata,Indica Vista TDI LS,2013,170000,Diesel,Individual,19.4
256,Hyundai,i20 2015-2017 Asta 1.4 CRDi,2017,800000,Diesel,Individual,22.54
257,Maruti,Ignis 1.3 Alpha,2017,500000,Diesel,Individual,26.8
258,Tata,Hexa XTA,2017,1380000,Diesel,Individual,17.6
259,Mahindra,Marazzo M6 8Str,2019,1300000,Diesel,Individual,17.3
260,Hyundai,Verna 1.6 CRDI,2013,530000,Diesel,Individual,22.32
261,Maruti,Swift Dzire VDI,2012,360000,Diesel,Individual,23.4
262,Maruti,Swift Dzire LDi,2012,310000,Diesel,Individual,19.3
263,Honda,City i DTEC V,2015,725000,Diesel,Individual,26.0
264,Maruti,Swift Dzire ZDi,2012,340000,Diesel,Individual,19.3
265,Hyundai,Xcent 1.2 CRDi E,2017,550000,Diesel,Individual,25.4
266,Toyota,Fortuner 3.0 Diesel,2011,1150000,Diesel,Individual,11.5
267,Tata,Tiago 1.05 Revotorq XZ,2016,380000,Diesel,Individual,27.28
268,Nissan,Sunny XL AT Special Edition,2013,350000,Petrol,Individual,17.97
269,Hyundai,Elite i20 Magna Plus BSIV,2019,610000,Petrol,Individual,18.6
270,Maruti,Swift Dzire VXI,2015,525000,Petrol,Individual,20.85
271,Toyota,Innova 2.5 GX 7 STR,2011,480000,Diesel,Individual,12.8
272,Mahindra,Thar CRDe,2017,780000,Diesel,Individual,16.55
273,Maruti,Swift Dzire ZDi,2012,320000,Diesel,Individual,19.3
274,Maruti,Swift 1.2 DLX (Only Delhi),2014,375000,Petrol,Individual,20.4
275,Datsun,GO D Petrol,2019,300000,Petrol,Individual,19.02
276,Hyundai,i20 Asta 1.4 CRDi,2015,500000,Diesel,Individual,22.54
277,Mahindra,Scorpio LX,2011,404000,Diesel,Individual,12.05
278,Tata,Sumo Gold EX BSIII,2015,500000,Diesel,Individual,14.07
279,Tata,Tiago Wizz 1.05 Revotorq,2017,350000,Diesel,Individual,27.28
280,Tata,Zest Revotron 1.2 XT,2015,380000,Petrol,Individual,17.57
281,Hyundai,Accent GLE,2008,114999,Petrol,Individual,13.2
282,Honda,Brio Exclusive Edition,2014,335000,Petrol,Dealer,19.4
283,Hyundai,Grand i10 AT Asta,2015,465000,Petrol,Dealer,18.9
284,Tata,Manza Club Class Quadrajet90 LX,2012,290000,Diesel,Individual,21.02
285,Maruti,Alto LX,2005,110000,Petrol,Individual,19.7
286,Tata,New Safari DICOR 2.2 EX 4x2,2011,450000,Diesel,Individual,11.57
287,Mahindra,Bolero SLE,2009,400000,Diesel,Individual,13.6
288,Mahindra,Bolero DI DX 7 Seater,2007,210000,Diesel,Individual,13.6
289,Mercedes-Benz,GL-Class 220d 4MATIC Sport,2018,4600000,Diesel,Individual,17.9
290,Maruti,Omni E MPI STD BS IV,2016,220000,Petrol,Individual,16.8
291,Hyundai,Grand i10 Sportz,2017,450000,Petrol,Individual,18.9
292,Hyundai,Grand i10 Sportz,2017,450000,Petrol,Individual,18.9
293,Hyundai,i10 Sportz AT,2013,290000,Petrol,Individual,16.95
294,Maruti,Swift VXI Deca,2016,520000,Petrol,Individual,20.4
295,Hyundai,i10 Sportz AT,2011,265000,Petrol,Individual,16.95
296,Maruti,Swift VXI,2012,330000,Petrol,Individual,18.6
297,Maruti,Swift VXI,2012,330000,Petrol,Individual,18.6
298,Mahindra,Bolero 2011-2019 ZLX,2014,509999,Diesel,Individual,15.96
299,Hyundai,Verna 1.6 SX VTVT (O),2014,500000,Petrol,Individual,17.1
300,Hyundai,i20 Active 1.2,2015,525000,Petrol,Individual,17.19
301,Maruti,Baleno Zeta,2019,675000,Petrol,Individual,21.01
302,Hyundai,i20 1.2 Asta,2010,300000,Petrol,Individual,17.0
303,Maruti,Alto LXI,2005,90000,Petrol,Individual,19.7
304,Maruti,Swift Dzire VDI,2017,650000,Diesel,Individual,26.59
305,Maruti,Swift Dzire VXI,2014,409000,Petrol,Individual,19.1
306,Hyundai,Grand i10 CRDi Sportz,2015,395000,Diesel,Individual,24.0
308,Maruti,Swift Dzire VXI,2014,400000,Petrol,Individual,19.1
309,Chevrolet,Beat LS,2012,120000,Petrol,Individual,18.6
310,Tata,Tigor 1.2 Revotron XZA,2018,645000,Petrol,Individual,20.3
311,Maruti,800 Std,2006,81000,Petrol,Individual,16.1
312,Honda,City i-DTEC VX,2017,1300000,Diesel,Individual,25.6
313,Honda,City i-DTEC VX,2017,1250000,Diesel,Individual,25.6
314,Maruti,Ertiga VXI,2013,535000,Petrol,Individual,16.02
315,Nissan,Terrano XV Premium 110 PS,2014,555000,Diesel,Individual,19.01
316,Honda,City i VTEC VX,2014,725000,Petrol,Individual,17.4
318,Renault,KWID RXL,2016,229999,Petrol,Individual,25.17
319,Toyota,Innova 2.5 GX (Diesel) 8 Seater,2013,800000,Diesel,Individual,12.99
320,Maruti,Wagon R VXI BS IV,2017,409999,Petrol,Individual,20.51
321,Hyundai,Creta 1.4 CRDi S Plus,2018,1210000,Diesel,Individual,21.38
322,Tata,Tiago 1.2 Revotron XZ,2017,400000,Petrol,Individual,23.84
323,Hyundai,Grand i10 1.2 CRDi Sportz,2018,520000,Diesel,Individual,24.0
324,Maruti,Baleno Zeta Automatic,2016,650000,Petrol,Individual,21.4
325,Maruti,Swift ZXI ABS,2011,325000,Petrol,Individual,16.1
326,Maruti,Swift Dzire VXi AT,2012,420000,Petrol,Individual,17.4
327,Maruti,Swift LXI Option,2014,400000,Petrol,Individual,20.4
328,Hyundai,i20 1.2 Asta,2010,254999,Petrol,Individual,17.0
329,Maruti,Zen LXI,2003,65000,Petrol,Individual,17.3
330,Maruti,Celerio LXI,2017,351000,Petrol,Individual,23.1
331,Toyota,Innova 2.5 V Diesel 8-seater,2007,404000,Diesel,Individual,12.8
332,Maruti,Ritz LDi,2011,185000,Diesel,Individual,21.1
333,Nissan,Micra Diesel XV,2011,250000,Diesel,Individual,23.08
334,Maruti,Zen LXI,2002,60000,Petrol,Individual,17.3
335,Hyundai,Verna 1.6 SX VTVT (O),2013,500000,Petrol,Individual,17.1
336,Maruti,Zen Estilo LXI BSIII,2007,85000,Petrol,Individual,18.2
338,Maruti,Alto LX,2005,85000,Petrol,Individual,19.7
339,Maruti,Swift Dzire ZDi,2011,265000,Diesel,Individual,19.3
340,Maruti,A-Star Vxi,2010,130000,Petrol,Individual,19.0
341,Maruti,Ertiga VDI,2013,480000,Diesel,Individual,20.77
342,Maruti,Swift Ldi BSIII,2008,170000,Diesel,Individual,17.8
343,Nissan,Micra Diesel XV,2011,275000,Diesel,Individual,23.08
344,Maruti,Wagon R LXI,2005,89000,Petrol,Individual,18.9
345,Ford,Figo Diesel Titanium,2010,170000,Diesel,Individual,20.0
346,Mahindra,XUV300 W8 Option BSIV,2019,1090000,Petrol,Dealer,17.0
347,Hyundai,Creta 1.6 CRDi AT SX Plus,2017,1100000,Diesel,Individual,17.01
348,Maruti,Swift VXI BSIV,2018,610000,Petrol,Dealer,22.0
349,Datsun,GO T Option BSIV,2016,335000,Petrol,Dealer,20.63
350,Hyundai,Grand i10 Asta,2015,434999,Petrol,Dealer,18.9
351,Toyota,Fortuner 2.8 2WD MT BSIV,2018,3000000,Diesel,Individual,14.24
352,Renault,KWID RXL,2018,390000,Petrol,Dealer,20.71
353,Honda,Brio 1.2 VX MT,2012,325000,Petrol,Dealer,18.5
354,Volkswagen,Ameo 1.2 MPI Comfortline Plus,2019,640000,Petrol,Dealer,17.0
355,Nissan,Sunny XV Special Edition,2012,450000,Petrol,Dealer,16.95
356,Toyota,Etios Liva GD SP,2013,400000,Diesel,Dealer,23.59
357,Hyundai,i10 Sportz,2009,215000,Petrol,Dealer,20.36
358,Renault,Duster 85PS Diesel RxL,2014,570000,Diesel,Dealer,20.45
359,Mahindra,XUV500 W8 2WD,2012,680000,Diesel,Dealer,15.1
360,Toyota,Innova 2.5 V Diesel 7-seater,2008,325000,Diesel,Individual,12.8
361,Tata,Indigo CS eGLX BS IV,2011,150000,Petrol,Individual,15.64
362,Hyundai,Elantra SX AT,2013,690000,Petrol,Dealer,14.5
363,Mercedes-Benz,New C-Class 220 CDI AT,2013,1550000,Diesel,Individual,14.84
364,Tata,Nano STD,2012,64000,Petrol,Dealer,25.4
365,Nissan,Micra Diesel XL,2013,250000,Diesel,Individual,23.08
366,Maruti,Wagon R LXI,2005,65000,Petrol,Individual,18.9
